U4E1F,丟,丢
U5A6C,婬,淫
U5A6D,婭,娅
U5AA7,媧,娲
U5AAE,媮,偷
U5AAF,媯,妫
U5ABC,媼,媪
U5ABD,媽,妈
U5ACB,嫋,袅
U5AD7,嫗,妪
U5AF5,嫵,妩
U5AFA,嫺,娴
U5AFB,嫻,娴
U5AFF,嫿,婳
U5B00,嬀,妫
U5B08,嬈,娆
U5B0B,嬋,婵
U5B0C,嬌,娇
U5B19,嬙,嫱
U5B1D,嬝,袅
U5B21,嬡,嫒
U5B24,嬤,嬷
U5B2A,嬪,嫔
U5B2D,嬭,奶
U5B30,嬰,婴
U5B38,嬸,婶
U5B3E,嬾,懒
U5B43,孃,娘
U5B4C,孌,娈
U5B6B,孫,孙
U5B78,學,学
U5B7F,孿,孪
U5BAE,宮,宫
U5BE2,寢,寝
U5BE6,實,实
U5BE7,寧,宁
U5BE9,審,审
U5BEB,寫,写
U5BEC,寬,宽
U5BF5,寵,宠
U5BF6,寶,宝
U5C05,尅,克
U5C07,將,将
U5C08,專,专
U5C0B,尋,寻
U5C0D,對,对
U5C0E,導,导
U5C32,尲,尴
U5C37,尷,尴
U5C46,屆,届
U5C4D,屍,尸
U5C53,屓,屃
U5C5C,屜,屉
U5C62,屢,屡
U5C64,層,层
U5C68,屨,屦
U5C6C,屬,属
U5C6D,屭,屃
U5CA1,岡,冈
U5CF4,峴,岘
U5CF6,島,岛
U5CFD,峽,峡
U5D0D,崍,崃
U5D10,崐,昆
U5D11,崑,昆
U5D17,崗,岗
U5D19,崙,仑
U5D20,崠,岽
U5D22,崢,峥
U5D2C,崬,岽
U5D33,崳,嵛
U5D50,嵐,岚
U5D57,嵗,岁
U5D81,嶁,嵝
U5D84,嶄,崭
U5D87,嶇,岖
U5D94,嶔,嵚
U5D97,嶗,崂
U5DA0,嶠,峤
U5DA2,嶢,峣
U5DA7,嶧,峄
U5DA8,嶨,峃
U5DAE,嶮,崄
U5DB4,嶴,岙
U5DB8,嶸,嵘
U5DBA,嶺,岭
U5DBC,嶼,屿
U5DBD,嶽,岳
U5DCB,巋,岿
U5DD2,巒,峦
U5DD4,巔,巅
U5DD6,巖,岩
U5DF0,巰,巯
U5DF9,巹,卺
U5E25,帥,帅
U5E2B,師,师
U5E33,帳,帐
U5E36,帶,带
U5E40,幀,帧
U5E43,幃,帏
U5E57,幗,帼
U5E58,幘,帻
U5E5F,幟,帜
U5E63,幣,币
U5E6B,幫,帮
U5E6C,幬,帱
U5E71,幱,襕
U5E79,幹,干
U5E7E,幾,几
U5EAB,庫,库
U5EC1,廁,厕
U5EC2,廂,厢
U5EC4,廄,厩
U5EC8,廈,厦
U5ECE,廎,庼
U5ED5,廕,荫
U5EDA,廚,厨
U5EDD,廝,厮
U5EDF,廟,庙
U5EE0,廠,厂
U5EE1,廡,庑
U5EE2,廢,废
U5EE3,廣,广
U5EE9,廩,廪
U5EEC,廬,庐
U5EF3,廳,厅
U5EFB,廻,回
U5EFC,廼,乃
U5F14,弔,吊
U5F33,弳,弪
U5F35,張,张
U5F37,強,强
U5F46,彆,别
U5F48,彈,弹
U5F4A,彊,强
U5F4C,彌,弥
U5F4E,彎,弯
U5F59,彙,汇
U5F5C,彜,彝
U5F5E,彞,彝
U5F60,彠,彟
U5F65,彥,彦
U5F6B,彫,雕
U5F7F,彿,佛
U5F8C,後,后
U5F91,徑,径
U5F9E,從,从
U5FA0,徠,徕
U5FA9,復,复
U5FAC,徬,彷
U5FB4,徴,征
U5FB5,徵,征
U5FB9,徹,彻
U6046,恆,恒
U6065,恥,耻
U6085,悅,悦
U60B5,悵,怅
U60B6,悶,闷
U60BD,悽,凄
U60E1,惡,恶
U60F1,惱,恼
U60F2,惲,恽
U60FB,惻,恻
U611B,愛,爱
U611C,愜,惬
U6128,愨,悫
U6134,愴,怆
U6137,愷,恺
U613E,愾,忾
U6144,慄,栗
U6147,慇,殷
U614B,態,态
U614D,慍,愠
U6158,慘,惨
U6159,慙,惭
U615A,慚,惭
U615F,慟,恸
U6163,慣,惯
U6164,慤,悫
U616A,慪,怄
U616B,慫,怂
U616E,慮,虑
U6173,慳,悭
U6174,慴,慑
U6176,慶,庆
U617C,慼,戚
U617E,慾,欲
U6182,憂,忧
U618A,憊,惫
U6190,憐,怜
U6191,憑,凭
U6192,憒,愦
U6196,憖,慭
U619A,憚,惮
U61A4,憤,愤
U61AB,憫,悯
U61AE,憮,怃
U61B2,憲,宪
U61B6,憶,忆
U61C7,懇,恳
U61C9,應,应
U61CC,懌,怿
U61CD,懍,懔
U61D5,懕,恹
U61DE,懞,蒙
U61DF,懟,怼
U61E3,懣,懑
U61E8,懨,恹
U61F2,懲,惩
U61F6,懶,懒
U61F7,懷,怀
U61F8,懸,悬
U61FA,懺,忏
U61FC,懼,惧
U61FD,懽,欢
U61FE,懾,慑
U6200,戀,恋
