U4E1F,丟,丢
U7D91,綑,捆
U7D93,經,经
U7D9C,綜,综
U7D9E,綞,缍
U7DA0,綠,绿
U7DA2,綢,绸
U7DA3,綣,绻
U7DAB,綫,线
U7DAC,綬,绶
U7DAD,維,维
U7DAF,綯,绹
U7DB0,綰,绾
U7DB1,綱,纲
U7DB2,網,网
U7DB3,綳,绷
U7DB4,綴,缀
U7DB5,綵,彩
U7DB8,綸,纶
U7DB9,綹,绺
U7DBA,綺,绮
U7DBB,綻,绽
U7DBD,綽,绰
U7DBE,綾,绫
U7DBF,綿,绵
U7DC4,緄,绲
U7DC7,緇,缁
U7DCA,緊,紧
U7DCB,緋,绯
U7DCD,緍,缗
U7DD2,緒,绪
U7DD3,緓,绬
U7DD4,緔,绱
U7DD7,緗,缃
U7DD8,緘,缄
U7DD9,緙,缂
U7DDA,線,线
U7DDC,緜,绵
U7DDD,緝,缉
U7DDE,緞,缎
U7DE0,締,缔
U7DE1,緡,缗
U7DE3,緣,缘
U7DE4,緤,绁
U7DE6,緦,缌
U7DE8,編,编
U7DE9,緩,缓
U7DEC,緬,缅
U7DEF,緯,纬
U7DF1,緱,缑
U7DF2,緲,缈
U7DF4,練,练
U7DF6,緶,缏
U7DF9,緹,缇
U7DFB,緻,致
U7DFC,緼,缊
U7E02,縂,总
U7E08,縈,萦
U7E09,縉,缙
U7E0A,縊,缢
U7E0B,縋,缒
U7E10,縐,绉
U7E11,縑,缣
U7E15,縕,缊
U7E17,縗,缞
U7E1A,縚,绦
U7E1B,縛,缚
U7E1D,縝,缜
U7E1E,縞,缟
U7E1F,縟,缛
U7E23,縣,县
U7E27,縧,绦
U7E2B,縫,缝
U7E2D,縭,缡
U7E2E,縮,缩
U7E2F,縯,演
U7E31,縱,纵
U7E32,縲,缧
U7E34,縴,纤
U7E35,縵,缦
U7E36,縶,絷
U7E37,縷,缕
U7E39,縹,缥
U7E3D,總,总
U7E3E,績,绩
U7E43,繃,绷
U7E45,繅,缫
U7E46,繆,缪
U7E48,繈,襁
U7E52,繒,缯
U7E54,織,织
U7E55,繕,缮
U7E56,繖,伞
U7E59,繙,翻
U7E5A,繚,缭
U7E5E,繞,绕
U7E61,繡,绣
U7E62,繢,缋
U7E66,繦,襁
U7E69,繩,绳
U7E6A,繪,绘
U7E6B,繫,系
U7E6D,繭,茧
U7E6E,繮,缰
U7E6F,繯,缳
U7E70,繰,缲
U7E73,繳,缴
U7E79,繹,绎
U7E7C,繼,继
U7E7D,繽,缤
U7E7E,繾,缱
U7E87,纇,颣
U7E88,纈,缬
U7E8A,纊,纩
U7E8C,續,续
U7E8D,纍,累
U7E8F,纏,缠
U7E93,纓,缨
U7E96,纖,纤
U7E98,纘,缵
U7E9C,纜,缆
U7F3D,缽,钵
U7F48,罈,坛
U7F4B,罋,瓮
U7F4C,罌,罂
U7F4E,罎,坛
U7F4F,罏,垆
U7F70,罰,罚
U7F75,罵,骂
U7F77,罷,罢
U7F78,罸,罚
U7F85,羅,罗
U7F86,羆,罴
U7F88,羈,羁
U7F8B,羋,芈
U7FA2,羢,绒
U7FA5,羥,羟
U7FA8,羨,羡
U7FA9,義,义
U7FB6,羶,膻
U7FD2,習,习
U7FEC,翬,翚
U7FF9,翹,翘
U7FFA,翺,翱
U7FFD,翽,翙
U8011,耑,端
U8021,耡,锄
U802C,耬,耧
U802E,耮,耢
U8056,聖,圣
U805E,聞,闻
U806F,聯,联
U8070,聰,聪
U8072,聲,声
U8073,聳,耸
U8075,聵,聩
U8076,聶,聂
U8077,職,职
U8079,聹,聍
U807C,聼,听
U807D,聽,听
U807E,聾,聋
U8085,肅,肃
U8105,脅,胁
U8107,脇,胁
U8108,脈,脉
U811B,脛,胫
U8123,脣,唇
U8129,脩,修
U812B,脫,脱
U8139,脹,胀
U814E,腎,肾
U8156,腖,胨
U8161,腡,脶
U8166,腦,脑
U816B,腫,肿
U8173,腳,脚
U8178,腸,肠
U8181,膁,肷
U8183,膃,腽
U8195,膕,腘
U819A,膚,肤
U81A0,膠,胶
U81A9,膩,腻
U81BD,膽,胆
U81BE,膾,脍
U81BF,膿,脓
U81C9,臉,脸
U81CD,臍,脐
U81CF,臏,膑
U81D2,臒,癯
U81D8,臘,腊
U81DA,臚,胪
U81DF,臟,脏
U81E0,臠,脔
U81E2,臢,臜
U81E5,臥,卧
U81E8,臨,临
U81EF,臯,皋
U81FA,臺,台
U8207,與,与
U8208,興,兴
U8209,舉,举
U820A,舊,旧
U8216,舖,铺
U8218,舘,馆
U8259,艙,舱
U8262,艢,樯
U8263,艣,橹
U8264,艤,舣
U8266,艦,舰
U826A,艪,橹
U826B,艫,舻
U8271,艱,艰
U8277,艷,艳
U8278,艸,艹
U82BB,芻,刍
U82E7,苧,苎
U8332,茲,兹
U834A,荊,荆
U838A,莊,庄
U8396,莖,茎
U83A2,莢,荚
U83A7,莧,苋
U83EF,華,华
U83F4,菴,庵
U83F8,菸,烟
U8407,萇,苌
U840A,萊,莱
U842C,萬,万
U8435,萵,莴
U8449,葉,叶
U8452,葒,荭
U8457,著,着
U8460,葠,参
U8464,葤,荮
U8466,葦,苇
U846F,葯,药
U8477,葷,荤
U8490,蒐,搜
U8493,蒓,莼
U8494,蒔,莳
U849E,蒞,莅
U84BC,蒼,苍
U84C0,蓀,荪
U84C6,蓆,席
U84CB,蓋,盖
U84E1,蓡,参
U84E7,蓧,莜
U84EE,蓮,莲
U84EF,蓯,苁
U84F4,蓴,莼
U84FD,蓽,荜
U8506,蔆,菱
U8514,蔔,卜
U851E,蔞,蒌
U8523,蔣,蒋
U8525,蔥,葱
U8526,蔦,茑
U852D,蔭,荫
U8534,蔴,麻
U8541,蕁,荨
U8546,蕆,蒇
U854E,蕎,荞
U8552,蕒,荬
U8553,蕓,芸
U8555,蕕,莸
U8558,蕘,荛
U8562,蕢,蒉
U8569,蕩,荡
U856A,蕪,芜
U856D,蕭,萧
U8577,蕷,蓣
U8588,薈,荟
U858A,薊,蓟
U858C,薌,芗
U8591,薑,姜
U8594,薔,蔷
U8598,薘,荙
U859F,薟,莶
U85A6,薦,荐
U85A9,薩,萨
U85B0,薰,熏
U85BA,薺,荠
U85CD,藍,蓝
U85CE,藎,荩
U85DD,藝,艺
U85E5,藥,药
U85EA,藪,薮
U85F6,藶,苈
U85F9,藹,蔼
U85FA,藺,蔺
U8600,蘀,萚
U8604,蘄,蕲
U8606,蘆,芦
U8607,蘇,苏
U860A,蘊,蕴
U860B,蘋,苹
U861A,蘚,藓
U861E,蘞,蔹
U8622,蘢,茏
U862D,蘭,兰
U863A,蘺,蓠
U863F,蘿,萝
U8655,處,处
U865B,虛,虚
U865C,虜,虏
U865F,號,号
U8667,虧,亏
U866F,虯,虬
U86FA,蛺,蛱
U86FB,蛻,蜕
U8706,蜆,蚬
U8755,蝕,蚀
U875F,蝟,猬
U8766,蝦,虾
U8768,蝨,虱
U8778,蝸,蜗
U8784,螄,蛳
U8798,螘,蚁
U879E,螞,蚂
U87A2,螢,萤
U87BB,螻,蝼
U87BF,螿,螀
U87C4,蟄,蛰
U87C8,蟈,蝈
U87CE,蟎,螨
U87E3,蟣,虮
U87EC,蟬,蝉
U87EF,蟯,蛲
U87F2,蟲,虫
U87F6,蟶,蛏
U87FB,蟻,蚁
U8805,蠅,蝇
U8806,蠆,虿
U880D,蠍,蝎
U8810,蠐,蛴
U8811,蠑,蝾
U8814,蠔,蚝
U881F,蠟,蜡
U8823,蠣,蛎
U8828,蠨,蟏
U8831,蠱,蛊
U8836,蠶,蚕
U883B,蠻,蛮
U8846,衆,众
U884A,衊,蔑
U8853,術,术
U885A,衚,胡
U885B,衛,卫
U885D,衝,冲
U885E,衞,卫
U8879,衹,只
U889E,袞,衮
U88CA,裊,袅
U88CC,裌,夹
U88CF,裏,里
U88DC,補,补
U88DD,裝,装
U88E1,裡,里
U88FD,製,制
U8907,複,复
U890C,褌,裈
U8918,褘,袆
U8932,褲,裤
U8933,褳,裢
U8938,褸,褛
U893B,褻,亵
U8946,襆,幞
U8947,襇,裥
U894D,襍,杂
U894F,襏,袯
U8956,襖,袄
U895D,襝,裣
U8960,襠,裆
U8964,襤,褴
U896A,襪,袜
U896F,襯,衬
U8972,襲,袭
U8974,襴,襕
U8988,覈,核
U898B,見,见
U898E,覎,觃
U898F,規,规
U8993,覓,觅
U8994,覔,觅
U8996,視,视
U8998,覘,觇
U899C,覜,眺
U89A1,覡,觋
U89A5,覥,觍
U89A6,覦,觎
U89AA,親,亲
U89AC,覬,觊
U89AF,覯,觏
U89B0,覰,觑
U89B2,覲,觐
U89B7,覷,觑
U89BA,覺,觉
U89BB,覻,觑
U89BD,覽,览
U89BF,覿,觌
U89C0,觀,观
U89DD,觝,抵
U89F4,觴,觞
U89F6,觶,觯
U89F8,觸,触
U8A01,訁,讠
U8A02,訂,订
U8A03,訃,讣
U8A08,計,计
U8A0A,訊,讯
U8A0C,訌,讧
U8A0E,討,讨
U8A0F,訏,吁
U8A10,訐,讦
U8A12,訒,讱
U8A13,訓,训
U8A15,訕,讪
U8A16,訖,讫
U8A17,託,托
U8A18,記,记
U8A1B,訛,讹
U8A1D,訝,讶
U8A1F,訟,讼
U8A22,訢,欣
U8A23,訣,诀
U8A25,訥,讷
U8A26,訦,谌
U8A29,訩,讻
U8A2A,訪,访
U8A2D,設,设
U8A31,許,许
U8A34,訴,诉
U8A36,訶,诃
U8A3A,診,诊
U8A3B,註,注
U8A3C,証,证
U8A41,詁,诂
U8A46,詆,诋
U8A4E,詎,讵
U8A50,詐,诈
U8A52,詒,诒
U8A54,詔,诏
U8A55,評,评
U8A56,詖,诐
U8A57,詗,诇
U8A58,詘,诎
U8A5B,詛,诅
U8A5E,詞,词
U8A60,詠,咏
U8A61,詡,诩
U8A62,詢,询
U8A63,詣,诣
U8A66,試,试
U8A69,詩,诗
U8A6B,詫,诧
U8A6C,詬,诟
U8A6D,詭,诡
U8A6E,詮,诠
U8A70,詰,诘
U8A71,話,话
U8A72,該,该
U8A73,詳,详
U8A75,詵,诜
U8A7C,詼,诙
U8A7E,詾,讻
U8A7F,詿,诖
U8A84,誄,诔
U8A85,誅,诛
U8A86,誆,诓
U8A87,誇,夸
U8A8C,誌,志
U8A8D,認,认
U8A91,誑,诳
U8A92,誒,诶
U8A95,誕,诞
U8A98,誘,诱
U8A9A,誚,诮
U8A9E,語,语
U8AA0,誠,诚
U8AA1,誡,诫
U8AA3,誣,诬
U8AA4,誤,误
U8AA5,誥,诰
U8AA6,誦,诵
U8AA8,誨,诲
U8AAA,說,说
U8AAC,説,说
U8AB0,誰,谁
U8AB2,課,课
U8AB6,誶,谇
U8AB9,誹,诽
U8ABC,誼,谊
U8ABF,調,调
U8AC2,諂,谄
U8AC4,諄,谆
U8AC7,談,谈
U8AC9,諉,诿
U8ACB,請,请
U8ACD,諍,诤
U8ACF,諏,诹
U8AD1,諑,诼
U8AD2,諒,谅
U8AD6,論,论
U8AD7,諗,谂
U8ADB,諛,谀
U8ADC,諜,谍
U8ADD,諝,谞
U8ADE,諞,谝
U8AE1,諡,谥
U8AE2,諢,诨
U8AE4,諤,谔
U8AE6,諦,谛
U8AE7,諧,谐
U8AEB,諫,谏
U8AED,諭,谕
U8AEE,諮,谘
U8AF1,諱,讳
U8AF3,諳,谙
U8AF6,諶,谌
U8AF7,諷,讽
U8AF8,諸,诸
U8AFA,諺,谚
U8AFC,諼,谖
U8AFE,諾,诺
U8B00,謀,谋
U8B01,謁,谒
U8B02,謂,谓
U8B04,謄,誊
U8B05,謅,诌
U8B0A,謊,谎
U8B0E,謎,谜
U8B10,謐,谧
U8B14,謔,谑
U8B16,謖,谡
U8B17,謗,谤
U8B19,謙,谦
U8B1A,謚,谥
U8B1B,講,讲
U8B1D,謝,谢
U8B20,謠,谣
U8B28,謨,谟
U8B2B,謫,谪
U8B2C,謬,谬
U8B33,謳,讴
U8B39,謹,谨
U8B3E,謾,谩
U8B41,譁,哗
U8B46,譆,嘻
U8B49,證,证
U8B4C,譌,讹
U8B4E,譎,谲
U8B4F,譏,讥
U8B56,譖,谮
U8B58,識,识
U8B59,譙,谯
U8B5A,譚,谭
U8B5C,譜,谱
U8B5F,譟,噪
U8B6B,譫,谵
U8B6D,譭,毁
U8B6F,譯,译
U8B70,議,议
U8B74,譴,谴
U8B77,護,护
U8B78,譸,诪
U8B7D,譽,誉
U8B7E,譾,谫
U8B80,讀,读
U8B81,讁,谪
U8B85,讅,审
U8B8A,變,变
U8B8B,讋,詟
U8B8C,讌,燕
U8B8E,讎,雠
U8B90,讐,雠
U8B92,讒,谗
U8B93,讓,让
U8B95,讕,谰
U8B96,讖,谶
U8B9A,讚,赞
U8B9B,讛,呓
U8B9C,讜,谠
U8B9E,讞,谳
U8C3F,谿,溪
U8C48,豈,岂
U8C4E,豎,竖
U8C50,豐,丰
U8C54,豔,艳
U8C6C,豬,猪
U8C76,豶,豮
U8C8D,貍,狸
U8C93,貓,猫
U8C9D,貝,贝
U8C9E,貞,贞
U8C9F,貟,贠
U8CA0,負,负
U8CA1,財,财
U8CA2,貢,贡
U8CA7,貧,贫
U8CA8,貨,货
U8CA9,販,贩
U8CAA,貪,贪
U8CAB,貫,贯
U8CAC,責,责
U8CAF,貯,贮
U8CB0,貰,贳
U8CB2,貲,赀
U8CB3,貳,贰
U8CB4,貴,贵
U8CB6,貶,贬
U8CB7,買,买
U8CB8,貸,贷
U8CBA,貺,贶
U8CBB,費,费
U8CBC,貼,贴
U8CBD,貽,贻
U8CBF,貿,贸
U8CC0,賀,贺
U8CC1,賁,贲
U8CC2,賂,赂
U8CC3,賃,赁
U8CC4,賄,贿
U8CC5,賅,赅
U8CC7,資,资
U8CC8,賈,贾
U8CC9,賉,恤
U8CCA,賊,贼
U8CCD,賍,赃
U8CD1,賑,赈
U8CD2,賒,赊
U8CD3,賓,宾
U8CD4,賔,宾
U8CD5,賕,赇
U8CD9,賙,赒
U8CDA,賚,赉
U8CDB,賛,赞
U8CDC,賜,赐
U8CDE,賞,赏
U8CE0,賠,赔
U8CE1,賡,赓
U8CE2,賢,贤
U8CE3,賣,卖
U8CE4,賤,贱
U8CE6,賦,赋
U8CE7,賧,赕
U8CEA,質,质
U8CEB,賫,赍
U8CEC,賬,账
U8CED,賭,赌
U8CEE,賮,赆
U8CF4,賴,赖
U8CF5,賵,赗
U8CF8,賸,剩
U8CFA,賺,赚
U8CFB,賻,赙
U8CFC,購,购
U8CFD,賽,赛
U8CFE,賾,赜
U8D04,贄,贽
U8D05,贅,赘
U8D07,贇,赟
U8D08,贈,赠
U8D0A,贊,赞
U8D0B,贋,赝
U8D0D,贍,赡
U8D0F,贏,赢
U8D10,贐,赆
U8D13,贓,赃
U8D14,贔,赑
U8D16,贖,赎
U8D17,贗,赝
U8D1B,贛,赣
U8D1C,贜,赃
U8D6C,赬,赪
U8D95,趕,赶
U8D99,趙,赵
U8DA8,趨,趋
U8DB2,趲,趱
U8DE1,跡,迹
U8DFC,跼,局
U8E10,踐,践
U8E21,踡,蜷
U8E34,踴,踊
U8E4C,蹌,跄
U8E55,蹕,跸
U8E5F,蹟,迹
U8E60,蹠,跖
U8E63,蹣,蹒
U8E64,蹤,踪
U8E7A,蹺,跷
U8E82,躂,跶
U8E89,躉,趸
U8E8A,躊,踌
U8E8B,躋,跻
U8E8D,躍,跃
U8E91,躑,踯
U8E92,躒,跞
U8E93,躓,踬
U8E95,躕,蹰
U8E9A,躚,跹
U8EA1,躡,蹑
U8EA5,躥,蹿
U8EA6,躦,躜
U8EAA,躪,躏
U8EB0,躰,体
U8EC0,軀,躯
U8EC3,軃,亸
U8ECA,車,车
U8ECB,軋,轧
U8ECC,軌,轨
U8ECD,軍,军
U8ED1,軑,轪
U8ED2,軒,轩
U8ED4,軔,轫
U8EDB,軛,轭
U8EDF,軟,软
U8EE4,軤,轷
U8EEB,軫,轸
U8EF2,軲,轱
U8EF8,軸,轴
U8EF9,軹,轵
U8EFA,軺,轺
U8EFB,軻,轲
U8EFC,軼,轶
U8EFE,軾,轼
U8F03,較,较
U8F05,輅,辂
U8F07,輇,辁
U8F08,輈,辀
U8F09,載,载
U8F0A,輊,轾
U8F12,輒,辄
U8F13,輓,挽
U8F14,輔,辅
U8F15,輕,轻
U8F1B,輛,辆
U8F1C,輜,辎
U8F1D,輝,辉
U8F1E,輞,辋
U8F1F,輟,辍
U8F25,輥,辊
U8F26,輦,辇
U8F29,輩,辈
U8F2A,輪,轮
U8F2C,輬,辌
U8F2D,輭,软
U8F2F,輯,辑
U8F33,輳,辏
U8F38,輸,输
U8F3B,輻,辐
U8F3C,輼,辒
U8F3E,輾,辗
U8F3F,輿,舆
U8F40,轀,辒
U8F42,轂,毂
U8F44,轄,辖
U8F45,轅,辕
U8F46,轆,辘
U8F49,轉,转
U8F4D,轍,辙
U8F4E,轎,轿
U8F54,轔,辚
U8F5F,轟,轰
U8F61,轡,辔
U8F62,轢,轹
U8F64,轤,轳
U8FA4,辤,辞
U8FA6,辦,办
U8FAD,辭,辞
U8FAE,辮,辫
U8FAF,辯,辩
U8FB2,農,农
U8FB3,辳,农
U8FC6,迆,迤
U8FF4,迴,回
U8FFA,迺,乃
U9015,逕,径
U9019,這,这
U9023,連,连
U9031,週,周
U9032,進,进
U904A,遊,游
U904B,運,运
U904E,過,过
U9054,達,达
U9055,違,违
U9059,遙,遥
U905C,遜,逊
U905D,遝,沓
U905E,遞,递
U9060,遠,远
U9069,適,适
U9072,遲,迟
U9077,遷,迁
U9078,選,选
U907A,遺,遗
U907C,遼,辽
U9081,邁,迈
U9084,還,还
U9087,邇,迩
U908A,邊,边
U908F,邏,逻
U9090,邐,逦
U90C3,郃,合
U90DF,郟,郏
U90E4,郤,郄
U90F5,郵,邮
U9106,鄆,郓
U9109,鄉,乡
U9112,鄒,邹
U9114,鄔,邬
U9115,鄕,乡
U9116,鄖,郧
U9118,鄘,墉
U9127,鄧,邓
U912D,鄭,郑
U9130,鄰,邻
U9132,鄲,郸
U9134,鄴,邺
U9136,鄶,郐
U913A,鄺,邝
U9148,酈,郦
U9167,酧,酬
U9183,醃,腌
U9196,醖,酝
U919C,醜,丑
U919E,醞,酝
U91AB,醫,医
U91AC,醬,酱
U91AF,醯,酰
U91B1,醱,酦
U91BB,醻,酬
U91BC,醼,燕
U91C0,釀,酿
U91C1,釁,衅
U91C3,釃,酾
U91C5,釅,酽
U91CB,釋,释
U91D0,釐,厘
U91D3,釓,钆
U91D4,釔,钇
U91D5,釕,钌
U91D7,釗,钊
U91D8,釘,钉
U91D9,釙,钋
U91DD,針,针
U91E3,釣,钓
U91E4,釤,钐
U91E6,釦,扣
U91E7,釧,钏
U91E9,釩,钒
U91EC,釬,焊
U91F5,釵,钗
U91F7,釷,钍
U91F9,釹,钕
U91FA,釺,钎
U9200,鈀,钯
U9201,鈁,钫
U9203,鈃,钘
U9204,鈄,钭
U9205,鈅,钥
U9208,鈈,钚
U9209,鈉,钠
U920D,鈍,钝
U920E,鈎,钩
U9210,鈐,钤
U9211,鈑,钣
U9212,鈒,钑
U9214,鈔,钞
U9215,鈕,钮
U921E,鈞,钧
U9221,鈡,钟
U9223,鈣,钙
U9225,鈥,钬
U9226,鈦,钛
U9227,鈧,钪
U922E,鈮,铌
U9230,鈰,铈
U9233,鈳,钶
U9234,鈴,铃
U9237,鈷,钴
U9238,鈸,钹
U9239,鈹,铍
U923A,鈺,钰
U923D,鈽,钸
U923E,鈾,铀
U923F,鈿,钿
U9240,鉀,钾
U9244,鉄,铁
U9245,鉅,巨
U9246,鉆,钻
U9248,鉈,铊
U9249,鉉,铉
U924B,鉋,刨
U924D,鉍,铋
U9251,鉑,铂
U9255,鉕,钷
U9257,鉗,钳
U925A,鉚,铆
U925B,鉛,铅
U925E,鉞,钺
U9262,鉢,钵
U9264,鉤,钩
U9266,鉦,钲
U926C,鉬,钼
U926D,鉭,钽
U9272,鉲,锎
U9276,鉶,铏
U9278,鉸,铰
U927A,鉺,铒
U927B,鉻,铬
U927F,鉿,铪
U9280,銀,银
U9283,銃,铳
U9285,銅,铜
U928D,銍,铚
U9291,銑,铣
U9293,銓,铨
U9295,銕,铁
U9296,銖,铢
U9298,銘,铭
U929A,銚,铫
U929B,銛,铦
U929C,銜,衔
U92A0,銠,铑
U92A3,銣,铷
U92A5,銥,铱
U92A6,銦,铟
U92A8,銨,铵
U92A9,銩,铥
U92AA,銪,铕
U92AB,銫,铯
U92AC,銬,铐
U92B1,銱,铞
U92B2,銲,焊
U92B3,銳,锐
U92B7,銷,销
U92B9,銹,锈
U92BB,銻,锑
U92BC,銼,锉
U92C1,鋁,铝
U92C2,鋂,镅
U92C3,鋃,锒
U92C5,鋅,锌
U92C7,鋇,钡
U92CC,鋌,铤
U92CF,鋏,铗
U92D2,鋒,锋
U92D9,鋙,铻
U92DC,鋜,镯
U92DD,鋝,锊
U92DF,鋟,锓
U92E3,鋣,铘
U92E4,鋤,锄
U92E5,鋥,锃
U92E6,鋦,锔
U92E8,鋨,锇
U92E9,鋩,铓
U92EA,鋪,铺
U92EE,鋮,铖
U92EF,鋯,锆
U92F0,鋰,锂
U92F1,鋱,铽
U92F6,鋶,锍
U92F8,鋸,锯
U92FB,鋻,鉴
U92FC,鋼,钢
U9301,錁,锞
U9304,錄,录
U9306,錆,锖
U9307,錇,锫
U9308,錈,锩
U930F,錏,铔
U9310,錐,锥
U9312,錒,锕
U9315,錕,锟
U9318,錘,锤
U9319,錙,锱
U931A,錚,铮
U931B,錛,锛
U931F,錟,锬
U9320,錠,锭
U9321,錡,锜
U9322,錢,钱
U9326,錦,锦
U9328,錨,锚
U9329,錩,锠
U932B,錫,锡
U932E,錮,锢
U932F,錯,错
U9333,錳,锰
U9336,錶,表
U9338,錸,铼
U933C,錼,镎
U9340,鍀,锝
U9341,鍁,锨
U9343,鍃,锪
U9346,鍆,钔
U9347,鍇,锴
U9348,鍈,锳
U934A,鍊,炼
U934B,鍋,锅
U934D,鍍,镀
U9354,鍔,锷
U9358,鍘,铡
U935A,鍚,钖
U935B,鍛,锻
U9360,鍠,锽
U9364,鍤,锸
U9365,鍥,锲
U9369,鍩,锘
U936B,鍫,锹
U936C,鍬,锹
U9370,鍰,锾
U9375,鍵,键
U9376,鍶,锶
U937A,鍺,锗
U937C,鍼,针
U937E,鍾,锺
U9382,鎂,镁
U9384,鎄,锿
U9387,鎇,镅
U938A,鎊,镑
U938B,鎋,辖
U9394,鎔,镕
U9396,鎖,锁
U9398,鎘,镉
U939A,鎚,锤
U939B,鎛,镈
U93A1,鎡,镃
U93A2,鎢,钨
U93A3,鎣,蓥
U93A6,鎦,镏
U93A7,鎧,铠
U93A9,鎩,铩
U93AA,鎪,锼
U93AC,鎬,镐
U93AE,鎮,镇
U93B0,鎰,镒
U93B2,鎲,镋
U93B3,鎳,镍
U93B5,鎵,镓
U93B8,鎸,镌
U93BF,鎿,镎
U93C3,鏃,镞
U93C7,鏇,旋
U93C8,鏈,链
U93CC,鏌,镆
U93CD,鏍,镙
U93D0,鏐,镠
U93D1,鏑,镝
U93D7,鏗,铿
U93D8,鏘,锵
U93DA,鏚,戚
U93DC,鏜,镗
U93DD,鏝,镘
U93DE,鏞,镛
U93DF,鏟,铲
U93E1,鏡,镜
U93E2,鏢,镖
U93E4,鏤,镂
U93E8,鏨,錾
U93F0,鏰,镚
U93F5,鏵,铧
U93F7,鏷,镤
U93F9,鏹,镪
U93FD,鏽,锈
U9403,鐃,铙
U940B,鐋,铴
U9410,鐐,镣
U9412,鐒,铹
U9413,鐓,镦
U9414,鐔,镡
U9418,鐘,钟
U9419,鐙,镫
U941D,鐝,镢
U9420,鐠,镨
U9426,鐦,锎
U9427,鐧,锏
U9428,鐨,镄
U942B,鐫,镌
U942E,鐮,镰
U9432,鐲,镯
U9433,鐳,镭
U9435,鐵,铁
U9436,鐶,镮
U9438,鐸,铎
U943A,鐺,铛
U943F,鐿,镱
U9444,鑄,铸
U944A,鑊,镬
U944C,鑌,镔
U9451,鑑,鉴
U9452,鑒,鉴
U9454,鑔,镲
U9455,鑕,锧
U945B,鑛,矿
U945E,鑞,镴
U9460,鑠,铄
U9463,鑣,镳
U9464,鑤,刨
U9465,鑥,镥
U946A,鑪,炉
U946D,鑭,镧
U9470,鑰,钥
U9471,鑱,镵
U9472,鑲,镶
U9477,鑷,镊
U9479,鑹,镩
U947C,鑼,锣
U947D,鑽,钻
U947E,鑾,銮
U947F,鑿,凿
U9481,钁,镢
U9482,钂,镋
U949C,钜,鉅
U955F,镟,碹
U9577,長,长
U9580,門,门
U9582,閂,闩
U9583,閃,闪
U9586,閆,闫
U9588,閈,闬
U9589,閉,闭
U958B,開,开
U958C,閌,闶
U958E,閎,闳
U958F,閏,闰
U9591,閑,闲
U9592,閒,闲
U9593,間,间
U9594,閔,闵
U9598,閘,闸
U9599,閙,闹
U95A1,閡,阂
U95A2,関,关
U95A3,閣,阁
U95A4,閤,合
U95A5,閥,阀
U95A8,閨,闺
U95A9,閩,闽
U95AB,閫,阃
U95AC,閬,阆
U95AD,閭,闾
U95B1,閱,阅
U95B2,閲,阅
U95B6,閶,阊
U95B9,閹,阉
U95BB,閻,阎
U95BC,閼,阏
U95BD,閽,阍
U95BE,閾,阈
U95BF,閿,阌
U95C3,闃,阒
U95C6,闆,板
U95C8,闈,闱
U95CA,闊,阔
U95CB,闋,阕
U95CC,闌,阑
U95CD,闍,阇
U95D0,闐,阗
U95D2,闒,阘
U95D3,闓,闿
U95D4,闔,阖
U95D5,闕,阙
U95D6,闖,闯
U95DA,闚,窥
U95DC,關,关
U95DE,闞,阚
U95E0,闠,阓
U95E1,闡,阐
U95E2,闢,辟
U95E4,闤,阛
U95E5,闥,闼
U962C,阬,坑
U962F,阯,址
U9658,陘,陉
U965D,陝,陕
U965E,陞,升
U9663,陣,阵
U9670,陰,阴
U9673,陳,陈
U9678,陸,陆
U967D,陽,阳
U9682,隂,阴
U9684,隄,堤
U9689,隉,陧
U968A,隊,队
U968E,階,阶
U9695,隕,陨
U9696,隖,坞
U969B,際,际
U96A3,隣,邻
U96A8,隨,随
U96AA,險,险
U96B1,隱,隐
U96B4,隴,陇
U96B7,隷,隶
U96B8,隸,隶
U96BB,隻,只
U96CB,雋,隽
U96D6,雖,虽
U96D9,雙,双
U96DB,雛,雏
U96DC,雜,杂
U96DE,雞,鸡
U96E2,離,离
U96E3,難,难
U96F2,雲,云
U96FB,電,电
U9711,霑,沾
U971B,霛,灵
U9724,霤,溜
U9727,霧,雾
U973D,霽,霁
U9742,靂,雳
U9744,靄,霭
U9746,靆,叇
U9748,靈,灵
U9749,靉,叆
U975A,靚,靓
U975C,靜,静
U9763,靣,面
U9766,靦,腼
U9768,靨,靥
U976D,靭,韧
U9780,鞀,鼗
U9789,鞉,鼗
U978F,鞏,巩
U97A6,鞦,秋
U97BD,鞽,鞒
U97C1,韁,缰
U97C3,韃,鞑
U97C6,韆,千
U97C9,韉,鞯
U97CB,韋,韦
U97CC,韌,韧
U97CD,韍,韨
U97D3,韓,韩
U97D9,韙,韪
U97DC,韜,韬
U97DD,韝,鞴
U97DE,韞,韫
U97E4,韤,袜
U97FB,韻,韵
U97FF,響,响
U9801,頁,页
U9802,頂,顶
U9803,頃,顷
U9805,項,项
U9806,順,顺
U9807,頇,顸
U9808,須,须
U980A,頊,顼
U980C,頌,颂
U980E,頎,颀
U980F,頏,颃
U9810,預,预
U9811,頑,顽
U9812,頒,颁
U9813,頓,顿
U9817,頗,颇
U9818,領,领
U981C,頜,颌
U9821,頡,颉
U9824,頤,颐
U9826,頦,颏
U982B,頫,俯
U982D,頭,头
U982E,頮,颒
U9830,頰,颊
U9832,頲,颋
U9834,頴,颕
U9837,頷,颔
U9838,頸,颈
U9839,頹,颓
