U03DC,Ϝ,ϝ
U03DE,Ϟ,ϟ
U03E0,Ϡ,ϡ
U03E2,Ϣ,ϣ
U03E4,Ϥ,ϥ
U03E6,Ϧ,ϧ
U03E8,Ϩ,ϩ
U03EA,Ϫ,ϫ
U03EC,Ϭ,ϭ
U03EE,Ϯ,ϯ
U03F4,ϴ,θ
U03F7,Ϸ,ϸ
U03F9,Ϲ,ϲ
U03FA,Ϻ,ϻ
U0400,Ѐ,ѐ
U0401,Ё,ё
U0402,Ђ,ђ
U0403,Ѓ,ѓ
U0404,Є,є
U0405,Ѕ,ѕ
U0406,І,і
U0407,Ї,ї
U0408,Ј,ј
U0409,Љ,љ
U040A,Њ,њ
U040B,Ћ,ћ
U040C,Ќ,ќ
U040D,Ѝ,ѝ
U040E,Ў,ў
U040F,Џ,џ
U0410,А,а
U0411,Б,б
U0412,В,в
U0413,Г,г
U0414,Д,д
U0415,Е,е
U0416,Ж,ж
U0417,З,з
U0418,И,и
U0419,Й,й
U041A,К,к
U041B,Л,л
U041C,М,м
U041D,Н,н
U041E,О,о
U041F,П,п
U0420,Р,р
U0421,С,с
U0422,Т,т
U0423,У,у
U0424,Ф,ф
U0425,Х,х
U0426,Ц,ц
U0427,Ч,ч
U0428,Ш,ш
U0429,Щ,щ
U042A,Ъ,ъ
U042B,Ы,ы
U042C,Ь,ь
U042D,Э,э
U042E,Ю,ю
U042F,Я,я
U0460,Ѡ,ѡ
U0462,Ѣ,ѣ
U0464,Ѥ,ѥ
U0466,Ѧ,ѧ
U0468,Ѩ,ѩ
U046A,Ѫ,ѫ
U046C,Ѭ,ѭ
U046E,Ѯ,ѯ
U0470,Ѱ,ѱ
U0472,Ѳ,ѳ
U0474,Ѵ,ѵ
U0476,Ѷ,ѷ
U0478,Ѹ,ѹ
U047A,Ѻ,ѻ
U047C,Ѽ,ѽ
U047E,Ѿ,ѿ
U0480,Ҁ,ҁ
U048A,Ҋ,ҋ
U048C,Ҍ,ҍ
U048E,Ҏ,ҏ
U0490,Ґ,ґ
U0492,Ғ,ғ
